LandProvince;SeaZone;x;y;
kazimierza_wielka;seazone41;8498;1918;x
bejsce;seazone42;8520;1928;x
koszyce;seazone42;8529;1930;x
wietrzychowice;seazone42;8538;1926;x
gręboszów;seazone42;8562;1912;x
bolesław_dąbrowa;seazone43;8578;1908;x
mędrzechów;seazone43;8599;1905;x
szczucin;seazone43;8613;1904;x
czermin;seazone45;8672;1883;x
gawłuszowice;seazone48;8679;1875;x
padew;seazone48;8707;1865;x
baranów_sandomierski;seazone48;8726;1859;x
tarnobrzeg;seazone50;8777;1827;x
gorzyce;seazone51;8795;1812;x
radomyśl_nad_sanem;seazone51;8803;1795;x

